PreviousAS	CurrentAS	NextAS	Bandwidth	Delay	Hop	Full Path
9	0	11	10.0	2.0	7	[000003, 000000, 000006, 000007, 000001, 000002, 000005]
9	0	11	10.0	2.0	6	[000003, 000000, 000006, 000007, 000001, 000005]
9	0	11	10.0	2.0	8	[000003, 000000, 000006, 000007, 000004, 000002, 000001, 000005]
9	0	11	10.0	2.0	7	[000003, 000000, 000006, 000007, 000004, 000002, 000005]
9	0	11	10.0	2.0	6	[000003, 000000, 000006, 000007, 000004, 000005]
9	0	11	10.0	2.0	5	[000003, 000000, 000006, 000007, 000005]
9	0	11	28.0	2.0	7	[000003, 000000, 000007, 000001, 000002, 000004, 000005]
9	0	11	21.0	2.0	6	[000003, 000000, 000007, 000001, 000002, 000005]
9	0	11	33.0	2.0	7	[000003, 000000, 000007, 000001, 000002, 000006, 000005]
9	0	11	33.0	2.0	5	[000003, 000000, 000007, 000001, 000005]
9	0	11	28.0	2.0	8	[000003, 000000, 000007, 000001, 000006, 000002, 000004, 000005]
9	0	11	21.0	2.0	7	[000003, 000000, 000007, 000001, 000006, 000002, 000005]
9	0	11	33.0	2.0	6	[000003, 000000, 000007, 000001, 000006, 000005]
9	0	11	28.0	3.0	7	[000003, 000000, 000007, 000004, 000002, 000001, 000005]
9	0	11	28.0	3.0	8	[000003, 000000, 000007, 000004, 000002, 000001, 000006, 000005]
9	0	11	21.0	2.0	6	[000003, 000000, 000007, 000004, 000002, 000005]
9	0	11	28.0	3.0	8	[000003, 000000, 000007, 000004, 000002, 000006, 000001, 000005]
9	0	11	28.0	3.0	7	[000003, 000000, 000007, 000004, 000002, 000006, 000005]
9	0	11	36.0	2.0	5	[000003, 000000, 000007, 000004, 000005]
9	0	11	36.0	2.0	4	[000003, 000000, 000007, 000005]
9	0	11	10.0	2.0	8	[000003, 000000, 000007, 000006, 000001, 000002, 000004, 000005]
9	0	11	10.0	2.0	7	[000003, 000000, 000007, 000006, 000001, 000002, 000005]
9	0	11	10.0	2.0	6	[000003, 000000, 000007, 000006, 000001, 000005]
9	0	11	10.0	2.0	7	[000003, 000000, 000007, 000006, 000002, 000001, 000005]
9	0	11	10.0	2.0	7	[000003, 000000, 000007, 000006, 000002, 000004, 000005]
9	0	11	10.0	2.0	6	[000003, 000000, 000007, 000006, 000002, 000005]
9	0	11	10.0	2.0	5	[000003, 000000, 000007, 000006, 000005]
9	0	11	28.0	3.0	5	[000003, 000001, 000002, 000000, 000005]
9	0	11	28.0	3.0	6	[000003, 000001, 000002, 000000, 000006, 000005]
9	0	11	10.0	2.0	8	[000003, 000001, 000002, 000000, 000006, 000007, 000004, 000005]
9	0	11	10.0	2.0	7	[000003, 000001, 000002, 000000, 000006, 000007, 000005]
9	0	11	28.0	2.0	7	[000003, 000001, 000002, 000000, 000007, 000004, 000005]
9	0	11	28.0	2.0	6	[000003, 000001, 000002, 000000, 000007, 000005]
9	0	11	10.0	2.0	7	[000003, 000001, 000002, 000000, 000007, 000006, 000005]
9	0	11	28.0	2.0	5	[000003, 000001, 000002, 000004, 000005]
9	0	11	28.0	3.0	7	[000003, 000001, 000002, 000004, 000007, 000000, 000005]
9	0	11	28.0	3.0	8	[000003, 000001, 000002, 000004, 000007, 000000, 000006, 000005]
9	0	11	28.0	2.0	6	[000003, 000001, 000002, 000004, 000007, 000005]
9	0	11	10.0	2.0	8	[000003, 000001, 000002, 000004, 000007, 000006, 000000, 000005]
9	0	11	10.0	2.0	7	[000003, 000001, 000002, 000004, 000007, 000006, 000005]
9	0	11	21.0	2.0	4	[000003, 000001, 000002, 000005]
9	0	11	62.0	3.0	6	[000003, 000001, 000002, 000006, 000000, 000005]
9	0	11	36.0	2.0	8	[000003, 000001, 000002, 000006, 000000, 000007, 000004, 000005]
9	0	11	36.0	2.0	7	[000003, 000001, 000002, 000006, 000000, 000007, 000005]
9	0	11	53.0	3.0	5	[000003, 000001, 000002, 000006, 000005]
9	0	11	10.0	2.0	7	[000003, 000001, 000002, 000006, 000007, 000000, 000005]
9	0	11	10.0	2.0	7	[000003, 000001, 000002, 000006, 000007, 000004, 000005]
9	0	11	10.0	2.0	6	[000003, 000001, 000002, 000006, 000007, 000005]
9	0	11	43.0	3.0	3	[000003, 000001, 000005]
9	0	11	28.0	2.0	7	[000003, 000001, 000006, 000000, 000002, 000004, 000005]
9	0	11	28.0	2.0	8	[000003, 000001, 000006, 000000, 000002, 000004, 000007, 000005]
9	0	11	21.0	2.0	6	[000003, 000001, 000006, 000000, 000002, 000005]
9	0	11	61.0	3.0	5	[000003, 000001, 000006, 000000, 000005]
9	0	11	21.0	2.0	8	[000003, 000001, 000006, 000000, 000007, 000004, 000002, 000005]
9	0	11	36.0	2.0	7	[000003, 000001, 000006, 000000, 000007, 000004, 000005]
9	0	11	36.0	2.0	6	[000003, 000001, 000006, 000000, 000007, 000005]
9	0	11	28.0	3.0	6	[000003, 000001, 000006, 000002, 000000, 000005]
9	0	11	28.0	2.0	8	[000003, 000001, 000006, 000002, 000000, 000007, 000004, 000005]
9	0	11	28.0	2.0	7	[000003, 000001, 000006, 000002, 000000, 000007, 000005]
9	0	11	28.0	2.0	6	[000003, 000001, 000006, 000002, 000004, 000005]
9	0	11	28.0	3.0	8	[000003, 000001, 000006, 000002, 000004, 000007, 000000, 000005]
9	0	11	28.0	2.0	7	[000003, 000001, 000006, 000002, 000004, 000007, 000005]
9	0	11	21.0	2.0	5	[000003, 000001, 000006, 000002, 000005]
9	0	11	53.0	3.0	4	[000003, 000001, 000006, 000005]
9	0	11	10.0	2.0	8	[000003, 000001, 000006, 000007, 000000, 000002, 000004, 000005]
9	0	11	10.0	2.0	7	[000003, 000001, 000006, 000007, 000000, 000002, 000005]
9	0	11	10.0	2.0	6	[000003, 000001, 000006, 000007, 000000, 000005]
9	0	11	10.0	2.0	8	[000003, 000001, 000006, 000007, 000004, 000002, 000000, 000005]
9	0	11	10.0	2.0	7	[000003, 000001, 000006, 000007, 000004, 000002, 000005]
9	0	11	10.0	2.0	6	[000003, 000001, 000006, 000007, 000004, 000005]
9	0	11	10.0	2.0	5	[000003, 000001, 000006, 000007, 000005]
9	0	11	28.0	2.0	7	[000003, 000001, 000007, 000000, 000002, 000004, 000005]
9	0	11	21.0	2.0	6	[000003, 000001, 000007, 000000, 000002, 000005]
9	0	11	28.0	2.0	7	[000003, 000001, 000007, 000000, 000002, 000006, 000005]
9	0	11	33.0	2.0	5	[000003, 000001, 000007, 000000, 000005]
9	0	11	28.0	2.0	8	[000003, 000001, 000007, 000000, 000006, 000002, 000004, 000005]
9	0	11	21.0	2.0	7	[000003, 000001, 000007, 000000, 000006, 000002, 000005]
9	0	11	33.0	2.0	6	[000003, 000001, 000007, 000000, 000006, 000005]
9	0	11	28.0	2.0	7	[000003, 000001, 000007, 000004, 000002, 000000, 000005]
9	0	11	28.0	2.0	8	[000003, 000001, 000007, 000004, 000002, 000000, 000006, 000005]
9	0	11	21.0	2.0	6	[000003, 000001, 000007, 000004, 000002, 000005]
9	0	11	28.0	2.0	8	[000003, 000001, 000007, 000004, 000002, 000006, 000000, 000005]
9	0	11	28.0	2.0	7	[000003, 000001, 000007, 000004, 000002, 000006, 000005]
9	0	11	33.0	2.0	5	[000003, 000001, 000007, 000004, 000005]
9	0	11	33.0	2.0	4	[000003, 000001, 000007, 000005]
9	0	11	10.0	2.0	8	[000003, 000001, 000007, 000006, 000000, 000002, 000004, 000005]
9	0	11	10.0	2.0	7	[000003, 000001, 000007, 000006, 000000, 000002, 000005]
9	0	11	10.0	2.0	6	[000003, 000001, 000007, 000006, 000000, 000005]
9	0	11	10.0	2.0	7	[000003, 000001, 000007, 000006, 000002, 000000, 000005]
9	0	11	10.0	2.0	7	[000003, 000001, 000007, 000006, 000002, 000004, 000005]
9	0	11	10.0	2.0	6	[000003, 000001, 000007, 000006, 000002, 000005]
9	0	11	10.0	2.0	5	[000003, 000001, 000007, 000006, 000005]
9	0	11	28.0	1.0	5	[000003, 000004, 000002, 000000, 000005]
9	0	11	28.0	1.0	7	[000003, 000004, 000002, 000000, 000006, 000001, 000005]
9	0	11	28.0	1.0	8	[000003, 000004, 000002, 000000, 000006, 000001, 000007, 000005]
9	0	11	28.0	1.0	6	[000003, 000004, 000002, 000000, 000006, 000005]
9	0	11	10.0	1.0	8	[000003, 000004, 000002, 000000, 000006, 000007, 000001, 000005]
9	0	11	10.0	1.0	7	[000003, 000004, 000002, 000000, 000006, 000007, 000005]
9	0	11	28.0	1.0	7	[000003, 000004, 000002, 000000, 000007, 000001, 000005]
9	0	11	28.0	1.0	8	[000003, 000004, 000002, 000000, 000007, 000001, 000006, 000005]
9	0	11	28.0	1.0	6	[000003, 000004, 000002, 000000, 000007, 000005]
9	0	11	10.0	1.0	8	[000003, 000004, 000002, 000000, 000007, 000006, 000001, 000005]
9	0	11	10.0	1.0	7	[000003, 000004, 000002, 000000, 000007, 000006, 000005]
9	0	11	28.0	1.0	5	[000003, 000004, 000002, 000001, 000005]
9	0	11	28.0	1.0	7	[000003, 000004, 000002, 000001, 000006, 000000, 000005]
9	0	11	28.0	1.0	8	[000003, 000004, 000002, 000001, 000006, 000000, 000007, 000005]
9	0	11	28.0	1.0	6	[000003, 000004, 000002, 000001, 000006, 000005]
9	0	11	10.0	1.0	8	[000003, 000004, 000002, 000001, 000006, 000007, 000000, 000005]
9	0	11	10.0	1.0	7	[000003, 000004, 000002, 000001, 000006, 000007, 000005]
9	0	11	28.0	1.0	7	[000003, 000004, 000002, 000001, 000007, 000000, 000005]
9	0	11	28.0	1.0	8	[000003, 000004, 000002, 000001, 000007, 000000, 000006, 000005]
9	0	11	28.0	1.0	6	[000003, 000004, 000002, 000001, 000007, 000005]
9	0	11	10.0	1.0	8	[000003, 000004, 000002, 000001, 000007, 000006, 000000, 000005]
9	0	11	10.0	1.0	7	[000003, 000004, 000002, 000001, 000007, 000006, 000005]
9	0	11	21.0	1.0	4	[000003, 000004, 000002, 000005]
9	0	11	28.0	1.0	6	[000003, 000004, 000002, 000006, 000000, 000005]
9	0	11	28.0	1.0	8	[000003, 000004, 000002, 000006, 000000, 000007, 000001, 000005]
9	0	11	28.0	1.0	7	[000003, 000004, 000002, 000006, 000000, 000007, 000005]
9	0	11	28.0	1.0	6	[000003, 000004, 000002, 000006, 000001, 000005]
9	0	11	28.0	1.0	8	[000003, 000004, 000002, 000006, 000001, 000007, 000000, 000005]
9	0	11	28.0	1.0	7	[000003, 000004, 000002, 000006, 000001, 000007, 000005]
9	0	11	28.0	1.0	5	[000003, 000004, 000002, 000006, 000005]
9	0	11	10.0	1.0	7	[000003, 000004, 000002, 000006, 000007, 000000, 000005]
9	0	11	10.0	1.0	7	[000003, 000004, 000002, 000006, 000007, 000001, 000005]
9	0	11	10.0	1.0	6	[000003, 000004, 000002, 000006, 000007, 000005]
9	0	11	29.0	1.0	3	[000003, 000004, 000005]
9	0	11	28.0	1.0	7	[000003, 000004, 000007, 000000, 000002, 000001, 000005]
9	0	11	28.0	1.0	8	[000003, 000004, 000007, 000000, 000002, 000001, 000006, 000005]
9	0	11	21.0	1.0	6	[000003, 000004, 000007, 000000, 000002, 000005]
9	0	11	28.0	1.0	8	[000003, 000004, 000007, 000000, 000002, 000006, 000001, 000005]
9	0	11	28.0	1.0	7	[000003, 000004, 000007, 000000, 000002, 000006, 000005]
9	0	11	29.0	1.0	5	[000003, 000004, 000007, 000000, 000005]
9	0	11	21.0	1.0	8	[000003, 000004, 000007, 000000, 000006, 000001, 000002, 000005]
9	0	11	29.0	1.0	7	[000003, 000004, 000007, 000000, 000006, 000001, 000005]
9	0	11	29.0	1.0	8	[000003, 000004, 000007, 000000, 000006, 000002, 000001, 000005]
9	0	11	21.0	1.0	7	[000003, 000004, 000007, 000000, 000006, 000002, 000005]
9	0	11	29.0	1.0	6	[000003, 000004, 000007, 000000, 000006, 000005]
9	0	11	28.0	1.0	7	[000003, 000004, 000007, 000001, 000002, 000000, 000005]
9	0	11	28.0	1.0	8	[000003, 000004, 000007, 000001, 000002, 000000, 000006, 000005]
9	0	11	21.0	1.0	6	[000003, 000004, 000007, 000001, 000002, 000005]
9	0	11	29.0	1.0	8	[000003, 000004, 000007, 000001, 000002, 000006, 000000, 000005]
9	0	11	29.0	1.0	7	[000003, 000004, 000007, 000001, 000002, 000006, 000005]
9	0	11	29.0	1.0	5	[000003, 000004, 000007, 000001, 000005]
9	0	11	21.0	1.0	8	[000003, 000004, 000007, 000001, 000006, 000000, 000002, 000005]
9	0	11	29.0	1.0	7	[000003, 000004, 000007, 000001, 000006, 000000, 000005]
9	0	11	28.0	1.0	8	[000003, 000004, 000007, 000001, 000006, 000002, 000000, 000005]
9	0	11	21.0	1.0	7	[000003, 000004, 000007, 000001, 000006, 000002, 000005]
9	0	11	29.0	1.0	6	[000003, 000004, 000007, 000001, 000006, 000005]
9	0	11	29.0	1.0	4	[000003, 000004, 000007, 000005]
9	0	11	10.0	1.0	8	[000003, 000004, 000007, 000006, 000000, 000002, 000001, 000005]
9	0	11	10.0	1.0	7	[000003, 000004, 000007, 000006, 000000, 000002, 000005]
9	0	11	10.0	1.0	6	[000003, 000004, 000007, 000006, 000000, 000005]
9	0	11	10.0	1.0	8	[000003, 000004, 000007, 000006, 000001, 000002, 000000, 000005]
9	0	11	10.0	1.0	7	[000003, 000004, 000007, 000006, 000001, 000002, 000005]
9	0	11	10.0	1.0	6	[000003, 000004, 000007, 000006, 000001, 000005]
9	0	11	10.0	1.0	7	[000003, 000004, 000007, 000006, 000002, 000000, 000005]
9	0	11	10.0	1.0	7	[000003, 000004, 000007, 000006, 000002, 000001, 000005]
9	0	11	10.0	1.0	6	[000003, 000004, 000007, 000006, 000002, 000005]
9	0	11	10.0	1.0	5	[000003, 000004, 000007, 000006, 000005]
9	0	11	86.0	1.0	2	[000003, 000005]
9	0	11	28.0	3.0	6	[000003, 000006, 000000, 000002, 000001, 000005]
9	0	11	28.0	2.0	8	[000003, 000006, 000000, 000002, 000001, 000007, 000004, 000005]
9	0	11	28.0	2.0	7	[000003, 000006, 000000, 000002, 000001, 000007, 000005]
9	0	11	28.0	2.0	6	[000003, 000006, 000000, 000002, 000004, 000005]
9	0	11	28.0	2.0	8	[000003, 000006, 000000, 000002, 000004, 000007, 000001, 000005]
9	0	11	28.0	2.0	7	[000003, 000006, 000000, 000002, 000004, 000007, 000005]
9	0	11	21.0	2.0	5	[000003, 000006, 000000, 000002, 000005]
9	0	11	34.0	3.0	4	[000003, 000006, 000000, 000005]
9	0	11	28.0	2.0	8	[000003, 000006, 000000, 000007, 000001, 000002, 000004, 000005]
9	0	11	21.0	2.0	7	[000003, 000006, 000000, 000007, 000001, 000002, 000005]
9	0	11	33.0	2.0	6	[000003, 000006, 000000, 000007, 000001, 000005]
9	0	11	28.0	3.0	8	[000003, 000006, 000000, 000007, 000004, 000002, 000001, 000005]
9	0	11	21.0	2.0	7	[000003, 000006, 000000, 000007, 000004, 000002, 000005]
9	0	11	34.0	2.0	6	[000003, 000006, 000000, 000007, 000004, 000005]
9	0	11	34.0	2.0	5	[000003, 000006, 000000, 000007, 000005]
9	0	11	28.0	3.0	6	[000003, 000006, 000001, 000002, 000000, 000005]
9	0	11	28.0	2.0	8	[000003, 000006, 000001, 000002, 000000, 000007, 000004, 000005]
9	0	11	28.0	2.0	7	[000003, 000006, 000001, 000002, 000000, 000007, 000005]
9	0	11	28.0	2.0	6	[000003, 000006, 000001, 000002, 000004, 000005]
9	0	11	28.0	3.0	8	[000003, 000006, 000001, 000002, 000004, 000007, 000000, 000005]
9	0	11	28.0	2.0	7	[000003, 000006, 000001, 000002, 000004, 000007, 000005]
9	0	11	21.0	2.0	5	[000003, 000006, 000001, 000002, 000005]
9	0	11	34.0	3.0	4	[000003, 000006, 000001, 000005]
9	0	11	28.0	2.0	8	[000003, 000006, 000001, 000007, 000000, 000002, 000004, 000005]
9	0	11	21.0	2.0	7	[000003, 000006, 000001, 000007, 000000, 000002, 000005]
9	0	11	33.0	2.0	6	[000003, 000006, 000001, 000007, 000000, 000005]
9	0	11	28.0	2.0	8	[000003, 000006, 000001, 000007, 000004, 000002, 000000, 000005]
9	0	11	21.0	2.0	7	[000003, 000006, 000001, 000007, 000004, 000002, 000005]
9	0	11	33.0	2.0	6	[000003, 000006, 000001, 000007, 000004, 000005]
9	0	11	33.0	2.0	5	[000003, 000006, 000001, 000007, 000005]
9	0	11	28.0	3.0	5	[000003, 000006, 000002, 000000, 000005]
9	0	11	28.0	2.0	7	[000003, 000006, 000002, 000000, 000007, 000001, 000005]
9	0	11	28.0	2.0	7	[000003, 000006, 000002, 000000, 000007, 000004, 000005]
9	0	11	28.0	2.0	6	[000003, 000006, 000002, 000000, 000007, 000005]
9	0	11	34.0	3.0	5	[000003, 000006, 000002, 000001, 000005]
9	0	11	33.0	2.0	7	[000003, 000006, 000002, 000001, 000007, 000000, 000005]
9	0	11	33.0	2.0	7	[000003, 000006, 000002, 000001, 000007, 000004, 000005]
9	0	11	33.0	2.0	6	[000003, 000006, 000002, 000001, 000007, 000005]
9	0	11	28.0	2.0	5	[000003, 000006, 000002, 000004, 000005]
9	0	11	28.0	3.0	7	[000003, 000006, 000002, 000004, 000007, 000000, 000005]
9	0	11	28.0	2.0	7	[000003, 000006, 000002, 000004, 000007, 000001, 000005]
9	0	11	28.0	2.0	6	[000003, 000006, 000002, 000004, 000007, 000005]
9	0	11	21.0	2.0	4	[000003, 000006, 000002, 000005]
9	0	11	34.0	4.0	3	[000003, 000006, 000005]
9	0	11	10.0	2.0	7	[000003, 000006, 000007, 000000, 000002, 000001, 000005]
9	0	11	10.0	2.0	7	[000003, 000006, 000007, 000000, 000002, 000004, 000005]
9	0	11	10.0	2.0	6	[000003, 000006, 000007, 000000, 000002, 000005]
9	0	11	10.0	2.0	5	[000003, 000006, 000007, 000000, 000005]
9	0	11	10.0	2.0	7	[000003, 000006, 000007, 000001, 000002, 000000, 000005]
9	0	11	10.0	2.0	7	[000003, 000006, 000007, 000001, 000002, 000004, 000005]
9	0	11	10.0	2.0	6	[000003, 000006, 000007, 000001, 000002, 000005]
9	0	11	10.0	2.0	5	[000003, 000006, 000007, 000001, 000005]
9	0	11	10.0	2.0	7	[000003, 000006, 000007, 000004, 000002, 000000, 000005]
9	0	11	10.0	2.0	7	[000003, 000006, 000007, 000004, 000002, 000001, 000005]
9	0	11	10.0	2.0	6	[000003, 000006, 000007, 000004, 000002, 000005]
9	0	11	10.0	2.0	5	[000003, 000006, 000007, 000004, 000005]
9	0	11	10.0	2.0	4	[000003, 000006, 000007, 000005]
9	0	11	13.0	3.0	6	[000003, 000007, 000000, 000002, 000001, 000005]
9	0	11	13.0	3.0	7	[000003, 000007, 000000, 000002, 000001, 000006, 000005]
9	0	11	13.0	2.0	6	[000003, 000007, 000000, 000002, 000004, 000005]
9	0	11	13.0	2.0	5	[000003, 000007, 000000, 000002, 000005]
9	0	11	13.0	3.0	7	[000003, 000007, 000000, 000002, 000006, 000001, 000005]
9	0	11	13.0	3.0	6	[000003, 000007, 000000, 000002, 000006, 000005]
9	0	11	13.0	3.0	4	[000003, 000007, 000000, 000005]
9	0	11	13.0	2.0	8	[000003, 000007, 000000, 000006, 000001, 000002, 000004, 000005]
9	0	11	13.0	2.0	7	[000003, 000007, 000000, 000006, 000001, 000002, 000005]
9	0	11	13.0	3.0	6	[000003, 000007, 000000, 000006, 000001, 000005]
9	0	11	13.0	3.0	7	[000003, 000007, 000000, 000006, 000002, 000001, 000005]
9	0	11	13.0	2.0	7	[000003, 000007, 000000, 000006, 000002, 000004, 000005]
9	0	11	13.0	2.0	6	[000003, 000007, 000000, 000006, 000002, 000005]
9	0	11	13.0	3.0	5	[000003, 000007, 000000, 000006, 000005]
9	0	11	13.0	2.0	6	[000003, 000007, 000001, 000002, 000000, 000005]
9	0	11	13.0	2.0	7	[000003, 000007, 000001, 000002, 000000, 000006, 000005]
9	0	11	13.0	2.0	6	[000003, 000007, 000001, 000002, 000004, 000005]
9	0	11	13.0	2.0	5	[000003, 000007, 000001, 000002, 000005]
9	0	11	13.0	2.0	7	[000003, 000007, 000001, 000002, 000006, 000000, 000005]
9	0	11	13.0	2.0	6	[000003, 000007, 000001, 000002, 000006, 000005]
9	0	11	13.0	2.0	4	[000003, 000007, 000001, 000005]
9	0	11	13.0	2.0	8	[000003, 000007, 000001, 000006, 000000, 000002, 000004, 000005]
9	0	11	13.0	2.0	7	[000003, 000007, 000001, 000006, 000000, 000002, 000005]
9	0	11	13.0	2.0	6	[000003, 000007, 000001, 000006, 000000, 000005]
9	0	11	13.0	2.0	7	[000003, 000007, 000001, 000006, 000002, 000000, 000005]
9	0	11	13.0	2.0	7	[000003, 000007, 000001, 000006, 000002, 000004, 000005]
9	0	11	13.0	2.0	6	[000003, 000007, 000001, 000006, 000002, 000005]
9	0	11	13.0	2.0	5	[000003, 000007, 000001, 000006, 000005]
9	0	11	13.0	3.0	6	[000003, 000007, 000004, 000002, 000000, 000005]
9	0	11	13.0	3.0	8	[000003, 000007, 000004, 000002, 000000, 000006, 000001, 000005]
9	0	11	13.0	3.0	7	[000003, 000007, 000004, 000002, 000000, 000006, 000005]
9	0	11	13.0	3.0	6	[000003, 000007, 000004, 000002, 000001, 000005]
9	0	11	13.0	3.0	8	[000003, 000007, 000004, 000002, 000001, 000006, 000000, 000005]
9	0	11	13.0	3.0	7	[000003, 000007, 000004, 000002, 000001, 000006, 000005]
9	0	11	13.0	2.0	5	[000003, 000007, 000004, 000002, 000005]
9	0	11	13.0	3.0	7	[000003, 000007, 000004, 000002, 000006, 000000, 000005]
9	0	11	13.0	3.0	7	[000003, 000007, 000004, 000002, 000006, 000001, 000005]
9	0	11	13.0	3.0	6	[000003, 000007, 000004, 000002, 000006, 000005]
9	0	11	13.0	2.0	4	[000003, 000007, 000004, 000005]
9	0	11	13.0	2.0	3	[000003, 000007, 000005]
9	0	11	10.0	2.0	7	[000003, 000007, 000006, 000000, 000002, 000001, 000005]
9	0	11	10.0	2.0	7	[000003, 000007, 000006, 000000, 000002, 000004, 000005]
9	0	11	10.0	2.0	6	[000003, 000007, 000006, 000000, 000002, 000005]
9	0	11	10.0	2.0	5	[000003, 000007, 000006, 000000, 000005]
9	0	11	10.0	2.0	7	[000003, 000007, 000006, 000001, 000002, 000000, 000005]
9	0	11	10.0	2.0	7	[000003, 000007, 000006, 000001, 000002, 000004, 000005]
9	0	11	10.0	2.0	6	[000003, 000007, 000006, 000001, 000002, 000005]
9	0	11	10.0	2.0	5	[000003, 000007, 000006, 000001, 000005]
9	0	11	10.0	2.0	6	[000003, 000007, 000006, 000002, 000000, 000005]
9	0	11	10.0	2.0	6	[000003, 000007, 000006, 000002, 000001, 000005]
9	0	11	10.0	2.0	6	[000003, 000007, 000006, 000002, 000004, 000005]
9	0	11	10.0	2.0	5	[000003, 000007, 000006, 000002, 000005]
9	0	11	10.0	2.0	4	[000003, 000007, 000006, 000005]
9	0	12	10.0	2.0	8	[000003, 000000, 000002, 000001, 000005, 000004, 000007, 000006]
9	0	12	28.0	3.0	6	[000003, 000000, 000002, 000001, 000005, 000006]
9	0	12	10.0	2.0	7	[000003, 000000, 000002, 000001, 000005, 000007, 000006]
9	0	12	28.0	3.0	5	[000003, 000000, 000002, 000001, 000006]
9	0	12	28.0	2.0	8	[000003, 000000, 000002, 000001, 000007, 000004, 000005, 000006]
9	0	12	28.0	2.0	7	[000003, 000000, 000002, 000001, 000007, 000005, 000006]
9	0	12	10.0	2.0	6	[000003, 000000, 000002, 000001, 000007, 000006]
9	0	12	28.0	2.0	7	[000003, 000000, 000002, 000004, 000005, 000001, 000006]
9	0	12	10.0	2.0	8	[000003, 000000, 000002, 000004, 000005, 000001, 000007, 000006]
9	0	12	28.0	2.0	6	[000003, 000000, 000002, 000004, 000005, 000006]
9	0	12	28.0	2.0	8	[000003, 000000, 000002, 000004, 000005, 000007, 000001, 000006]
9	0	12	10.0	2.0	7	[000003, 000000, 000002, 000004, 000005, 000007, 000006]
9	0	12	28.0	2.0	8	[000003, 000000, 000002, 000004, 000007, 000001, 000005, 000006]
9	0	12	28.0	2.0	7	[000003, 000000, 000002, 000004, 000007, 000001, 000006]
9	0	12	28.0	2.0	8	[000003, 000000, 000002, 000004, 000007, 000005, 000001, 000006]
9	0	12	28.0	2.0	7	[000003, 000000, 000002, 000004, 000007, 000005, 000006]
